name	link
Thomas Harley	https://www.hockey-reference.com/players/h/harleth01.html
Jordan Harris	https://www.hockey-reference.com/players/h/harrijo01.html
Carter Hart	https://www.hockey-reference.com/players/h/hartca01.html
Ryan Hartman	https://www.hockey-reference.com/players/h/hartmry01.html
RafaÃ«l Harvey-Pinard	https://www.hockey-reference.com/players/h/harvera01.html
Santeri Hatakka	https://www.hockey-reference.com/players/h/hataksa01.html
Garnet Hathaway	https://www.hockey-reference.com/players/h/hathaga01.html
Erik Haula	https://www.hockey-reference.com/players/h/haulaer01.html
John Hayden	https://www.hockey-reference.com/players/h/haydejo01.html
Kevin Hayes	https://www.hockey-reference.com/players/h/hayeske01.html
Barrett Hayton	https://www.hockey-reference.com/players/h/haytoba01.html
Victor Hedman	https://www.hockey-reference.com/players/h/hedmavi01.html
Emil Heineman	https://www.hockey-reference.com/players/h/heineem01.html
Danton Heinen	https://www.hockey-reference.com/players/h/heineda01.html
Miro Heiskanen	https://www.hockey-reference.com/players/h/heiskmi01.html
Magnus Hellberg	https://www.hockey-reference.com/players/h/hellbma01.html
Connor Hellebuyck	https://www.hockey-reference.com/players/h/helleco01.html
Adam Henrique	https://www.hockey-reference.com/players/h/henriad01.html
TomÃ¡Å¡ Hertl	https://www.hockey-reference.com/players/h/hertlto01.html
Matthew Highmore	https://www.hockey-reference.com/players/h/highmma01.html
Adin Hill	https://www.hockey-reference.com/players/h/hillad01.html
Vinnie Hinostroza	https://www.hockey-reference.com/players/h/hinosvi01.html
Roope Hintz	https://www.hockey-reference.com/players/h/hintzro01.html
Akito Hirose	https://www.hockey-reference.com/players/h/hirosak01.html
Nico Hischier	https://www.hockey-reference.com/players/h/hischni01.html
Joel Hofer	https://www.hockey-reference.com/players/h/hoferjo01.html
Mike Hoffman	https://www.hockey-reference.com/players/h/hoffmmi02.html
Nils HÃ¶glander	https://www.hockey-reference.com/players/h/hoglani01.html
Justin Holl	https://www.hockey-reference.com/players/h/hollju01.html
Dylan Holloway	https://www.hockey-reference.com/players/h/hollody01.html
Pontus Holmberg	https://www.hockey-reference.com/players/h/holmbpo01.html
Simon HolmstrÃ¶m	https://www.hockey-reference.com/players/h/holmssi01.html
Alexander Holtz	https://www.hockey-reference.com/players/h/holtzal01.html
Bo Horvat	https://www.hockey-reference.com/players/h/horvabo01.html
Brett Howden	https://www.hockey-reference.com/players/h/howdebr01.html
Filip Hronek	https://www.hockey-reference.com/players/h/hronefi01.html
Jonathan Huberdeau	https://www.hockey-reference.com/players/h/huberjo01.html
Jack Hughes	https://www.hockey-reference.com/players/h/hugheja03.html
Luke Hughes	https://www.hockey-reference.com/players/h/hughelu01.html
Quinn Hughes	https://www.hockey-reference.com/players/h/hughequ01.html
Daemon Hunt	https://www.hockey-reference.com/players/h/huntda01.html
Dryden Hunt	https://www.hockey-reference.com/players/h/huntdr01.html
Ville Husso	https://www.hockey-reference.com/players/h/hussovi01.html
